Leptothecata,25.4,36
Coronatae,20.32,365.76
Coronatae,13,78
Rhizostomeae,60,78
Semaeostomeae,90,600
semaeostomeae,60,60
Limnomedusae,15,27
Trachymedusae,2.8,2.8
Rhizostomeae,200,182.88
Trachymedusae,2,2
Coronatae,35,50
Cydippida,2.5,52.5
Lobata,2.5,12
Cestida,5,100
Lobata,10,16
Beroida,0.0000082,15
Stauromedusae,1.203,2
Stauromedusae,2.5,2.5
Stauromedusae,4,4
Rhizostomeae,150,274
Rhizostomeae,35,52.5
Rhizostomeae,30,5.1
Rhizostomeae,7,10
Rhizostomeae,50,106
Rhizostomeae,25,5.1
Semaeostomeae,20.32,3
Semaeostomeae,200,362
Semaeostomeae,60,60
Semaeostomeae,40,25
Semaeostomeae,6.5,9
Semaeostomeae,30,46
Chirodropida,24,300
Rhizostomeae,25,27
Rhizostomeae,30,26
Chirodropida,14,10
Semaeostomeae,18,18
Semaeostomeae,45,114
Semaeostomeae,43,69
Coronatae,1.6,2
Rhizostomeae,60,60
Semaeostomeae,45,36
Semaeostomeae,100,75
Rhizostomeae,65,97.7
Limnomedusae,3,7
Rhizostomeae,45,33
Siphonophora,12.7,30
Anthoathecata,7.6,10
Anthoathecata,0.3,0.3
Anthoathecata,0.45,0.45
Carybdeida,2,3
Carybdeida,1.4,1.3
Carybdeida,1,1
Carybdeida,0.5,5
Carybdeida,4,20
Carybdeida,19,19
Carybdeida,1.9,1.9
Rhizostomeae,40,40
Stauromedusae,2,4
Stauromedusae,2.5,3
Stauromedusae,10,5
Trachymedusae,1.1,2.2
Rhizostomeae,51,51
Semaeostomeae,10.5,8
Anthoathecata,3.5,4.5
Anthoathecata,1,2
Leptothecata,17.5,8
Anthoathecata,1.5,3
Coronatae,1.05,0.55
Coronatae,0.7,1.4
Semaeostomeae,10,20
Semaeostomeae,16,176
Leptothecata,1.1,1.3
Chirodropida,9.5,11
Cydippida,10,10
